candidate_ordinal,candidate_id,predictor,outcome_family,horizon_hours,status,rankable,directionally_consistent,pooled_n_obs,partition_1_complete_n,partition_2_complete_n,partition_3_complete_n,pooled_development_mean,pooled_development_population_std,pooled_coefficient,pooled_standard_error_hc3,pooled_p_value,pooled_confidence_interval_low,pooled_confidence_interval_high,partition_2_development_mean,partition_2_development_population_std,partition_2_coefficient,partition_2_standard_error_hc3,partition_2_p_value,partition_2_confidence_interval_low,partition_2_confidence_interval_high,partition_3_development_mean,partition_3_development_population_std,partition_3_coefficient,partition_3_standard_error_hc3,partition_3_p_value,partition_3_confidence_interval_low,partition_3_confidence_interval_high,family_bh_rank,family_bh_adjusted_q_value,failure_reason
10,return_trailing_72h__R__72h,return_trailing_72h,R,72,MULTIPLICITY_NOT_MET,true,true,399,132,134,133,0.0046786775044595748,0.04824612459155634,0.00014780863560712052,0.0037638781380324531,0.96867488297600146,-0.0072292569571341652,0.007524874228348407,0.0085037782514415326,0.05084416755431849,0.0046754256502962712,0.0065072009171420492,0.47244887821579784,-0.0080784537874681525,0.017429305088060697,0.0061585358774197329,0.053497521911586757,0.0024118369632771031,0.0064094906747310916,0.70670018581698957,-0.010150533918441167,0.014974207844995372,24,0.96867488297600135,
11,return_trailing_72h__R__168h,return_trailing_72h,R,168,MULTIPLICITY_NOT_MET,true,false,389,124,133,132,0.0036962521791920888,0.046441864890455667,0.0082388313090985075,0.0057663726111436709,0.15306979670276571,-0.0030630513301812771,0.019540713948378294,0.0053799332890708861,0.045301373055119103,0.016820864968497811,0.0074954946735910372,0.024824033895301502,0.0021299653619475702,0.031511764575048049,0.0046791303445372582,0.051159350603571234,-0.0037082074228317018,0.0087994262850424713,0.67345230051707394,-0.020954766026130028,0.013538351180466625,1,0.9620085770959278,
12,return_trailing_72h__M__24h,return_trailing_72h,M,24,MULTIPLICITY_NOT_MET,true,false,403,135,134,134,0.0046657025171893095,0.048051202577120658,-0.00087439260885689924,0.0019900865279789291,0.66039044221903354,-0.0047748905298139631,0.0030261053121001646,0.0083175798991933104,0.05040987698682757,-0.005738654323328915,0.0033573157717059826,0.08739569801776334,-0.01231887232060094,0.00084156367394310882,0.0060912457271169616,0.053258469536026302,0.0075084153383120347,0.0032690194244251332,0.021627885456359994,0.0011012550016769162,0.013915575674947153,16,0.89387601960310337,
13,return_trailing_72h__M__72h,return_trailing_72h,M,72,MULTIPLICITY_NOT_MET,true,true,399,132,134,133,0.0046786775044595748,0.04824612459155634,0.0028036816946921429,0.0024154143380876224,0.24574534989194929,-0.0019304434157012508,0.0075378068050855366,0.0085037782514415326,0.05084416755431849,0.00095849383151058102,0.0041655308311616939,0.8180130972598092,-0.0072057965740575354,0.0091227842370786971,0.0061585358774197329,0.053497521911586757,0.0080843172762627008,0.0036820749644868164,0.028121491275722308,0.00086758295749194206,0.01530105159503346,12,0.49149069978389859,
14,return_trailing_72h__M__168h,return_trailing_72h,M,168,MULTIPLICITY_NOT_MET,true,true,389,124,133,132,0.0036962521791920888,0.046441864890455667,0.0064241116122210869,0.004248982828442935,0.13055484452820099,-0.001903741702456197,0.01475196492689837,0.0053799332890708861,0.045301373055119103,0.0072546061073434026,0.0057343439472879437,0.20583000876590318,-0.0039845015043062171,0.018493713718993023,0.0046791303445372582,0.051159350603571234,0.014790877448825282,0.0053543634888180364,0.0057378668900080615,0.0042965178506056984,0.025285237047044863,10,0.31333162686768234,
15,return_trailing_72h__V__24h,return_trailing_72h,V,24,MULTIPLICITY_NOT_MET,true,true,403,135,134,134,0.0046657025171893095,0.048051202577120658,-0.0015354370560000778,0.0014438741713379806,0.28759391762376119,-0.0043653784300301353,0.0012945043180299794,0.0083175798991933104,0.05040987698682757,-0.0024621817749706076,0.0019744510606550425,0.2123898275470768,-0.0063320347430914012,0.0014076711931501856,0.0060912457271169616,0.053258469536026302,-0.0037687419572128714,0.0042775934937674112,0.37829478036659459,-0.012152671145499859,0.0046151872310741153,22,0.31373881922592128,
16,return_trailing_72h__V__72h,return_trailing_72h,V,72,MULTIPLICITY_NOT_MET,true,true,399,132,134,133,0.0046786775044595748,0.04824612459155634,-0.0011693820670782686,0.0020738226139079075,0.57283745238511563,-0.0052339997006624808,0.0028952355665059441,0.0085037782514415326,0.05084416755431849,-0.0027734643697690875,0.0034072021784829535,0.41564464891086383,-0.0094514579276420898,0.0039045291881039147,0.0061585358774197329,0.053497521911586757,-0.0040296219253336072,0.0042054066857901912,0.33796176870079575,-0.012272067569826333,0.0042128237191591186,24,0.57283745238511563,
17,return_trailing_72h__V__168h,return_trailing_72h,V,168,MULTIPLICITY_NOT_MET,true,true,389,124,133,132,0.0036962521791920888,0.046441864890455667,-0.0030936337839640683,0.0036835295802685446,0.40098922712025786,-0.010313219097278357,0.0041259515293502217,0.0053799332890708861,0.045301373055119103,-0.0031373672475327389,0.0040467989710440012,0.43817934286273019,-0.01106894748345273,0.0047942129883872513,0.0046791303445372582,0.051159350603571234,-0.0036023079703652525,0.0045359327874528524,0.42709567147864624,-0.012492572870067218,0.0052879569293367134,23,0.41842354134287779,
18,return_trailing_168h__R__24h,return_trailing_168h,R,24,MULTIPLICITY_NOT_MET,true,false,403,135,134,134,0.0059826364902827271,0.088549237728551874,0.0025204401206668468,0.0027176766081443218,0.35370612701607351,-0.002806108152922997,0.0078469883942566907,0.0038194410224749089,0.10400211156089442,-0.00083907994031874643,0.0057861101760867534,0.88469804988794609,-0.012179647496029494,0.010501487615392002,0.0049462236215195837,0.099437594856996478,0.009064141853947395,0.0052855722705513275,0.086366547458024315,-0.0012953894340168061,0.019423673141911596,6,0.9620085770959278,
19,return_trailing_168h__R__72h,return_trailing_168h,R,72,MULTIPLICITY_NOT_MET,true,true,399,132,134,133,0.0057293810656537459,0.087746582148866575,0.0055118590759400251,0.0039225994097157194,0.1599752753161291,-0.0021762944928808599,0.01320001264476091,0.002927046604567691,0.10194788825118686,0.0084524888068741727,0.0081761683240820886,0.30123161646629748,-0.0075725066398639324,0.024477484253612278,0.0045160893532240273,0.098329105340224585,0.0074816092184080687,0.0062557859608736036,0.23171594686221642,-0.0047795059598954902,0.019742724396711629,2,0.9620085770959278,
20,return_trailing_168h__R__168h,return_trailing_168h,R,168,MULTIPLICITY_NOT_MET,true,true,389,124,133,132,0.0049709442221637793,0.086696592124790833,0.0070298065606187498,0.0053718461513945397,0.1906567150392855,-0.0034988184266046473,0.017558431547842146,-0.00049673235383585206,0.099453517018651433,0.019472265140909752,0.0096356125112332363,0.043293816442580901,0.00058681164990906018,0.03835771863191044,0.0030489744611720982,0.097186680242618159,0.0082517493268415357,0.008182534542220999,0.31323423585135346,-0.007785723678166559,0.02428922233184963,3,0.9620085770959278,
21,return_trailing_168h__M__24h,return_trailing_168h,M,24,MULTIPLICITY_NOT_MET,true,false,403,135,134,134,0.0059826364902827271,0.088549237728551874,-0.00062979897511801866,0.0019356049578468037,0.74489668300258605,-0.0044235149807949235,0.0031639170305588857,0.0038194410224749089,0.10400211156089442,-0.0036026321550828859,0.0042375520289966986,0.39523155596482062,-0.011908081514531045,0.0047028172043652745,0.0049462236215195837,0.099437594856996478,0.0054412226041026341,0.0040168872314307134,0.17554922683613894,-0.0024317316994603736,0.013314176907665641,20,0.89387601960310337,
22,return_trailing_168h__M__72h,return_trailing_168h,M,72,MULTIPLICITY_NOT_MET,true,false,399,132,134,133,0.0057293810656537459,0.087746582148866575,-0.002935307914543302,0.0027065737295673955,0.27813846720573465,-0.0082400949459976482,0.0023694791169110449,0.002927046604567691,0.10194788825118686,-0.0056155530163887772,0.005699603229748767,0.32449965469855824,-0.016786570072864531,0.0055554640400869775,0.0045160893532240273,0.098329105340224585,0.0045664767217449614,0.0041797091612955084,0.27459820721035455,-0.00362560270024635,0.012758556143736274,13,0.51348640099520249,
23,return_trailing_168h__M__168h,return_trailing_168h,M,168,MULTIPLICITY_NOT_MET,true,false,389,124,133,132,0.0049709442221637793,0.086696592124790833,-0.00014705684339645823,0.0036416502721729788,0.96778864129923781,-0.0072845602211459816,0.0069904465343530653,-0.00049673235383585206,0.099453517018651433,0.0066171050305873589,0.0073417967760378332,0.36743291744811901,-0.0077725522322590751,0.021006762293433793,0.0030489744611720982,0.097186680242618159,0.0026022477098869021,0.005352566877144937,0.62684792824706492,-0.0078885905941592019,0.013093086013933008,23,0.98971026250988026,
24,return_trailing_168h__V__24h,return_trailing_168h,V,24,MULTIPLICITY_NOT_MET,true,true,403,135,134,134,0.0059826364902827271,0.088549237728551874,-0.0031794075740286831,0.0018078053028220749,0.07862656087270542,-0.0067226408586204761,0.00036382571056311,0.0038194410224749089,0.10400211156089442,-0.0022743840430303167,0.0028117665222653502,0.41858369557788877,-0.0077853451596058432,0.0032365770735452094,0.0049462236215195837,0.099437594856996478,-0.0037661398463505191,0.0036345584240347621,0.30010751118351608,-0.010889743457165311,0.0033574637644642729,19,0.099317761102364746,
25,return_trailing_168h__V__72h,return_trailing_168h,V,72,MULTIPLICITY_NOT_MET,true,true,399,132,134,133,0.0057293810656537459,0.087746582148866575,-0.0051176421753424102,0.0025499973929581912,0.044758123135545225,-0.010115545226211498,-0.00011973912447332379,0.002927046604567691,0.10194788825118686,-0.0044600602118900915,0.0047574556995466904,0.34850731441287031,-0.013784502041046413,0.0048643816172662295,0.0045160893532240273,0.098329105340224585,-0.0019374196649729997,0.0042544378766829951,0.64883017598751414,-0.01027596467773473,0.0064011253477887307,13,0.077775466209580077,
26,return_trailing_168h__V__168h,return_trailing_168h,V,168,MULTIPLICITY_NOT_MET,true,true,389,124,133,132,0.0049709442221637793,0.086696592124790833,-0.006560161620995388,0.0034651225546831485,0.058331599657185054,-0.013351677030191782,0.00023135378820100718,-0.00049673235383585206,0.099453517018651433,-0.0044663846935614187,0.0058618541309390579,0.44609545294032005,-0.015955407672829311,0.0070226382857064736,0.0030489744611720982,0.097186680242618159,-0.0034082286294413811,0.0042873403756171265,0.42664158386567508,-0.011811261355115378,0.004994804096232615,18,0.077775466209580077,
27,realized_volatility_trailing_24h__R__24h,realized_volatility_trailing_24h,R,24,MULTIPLICITY_NOT_MET,true,true,403,135,134,134,0.025319382673972754,0.018863255627188782,0.00088729429841097654,0.00262274828026014,0.73513179286481367,-0.0042531978714132612,0.0060277864682352147,0.030362622298470834,0.02461886844524961,0.0079660635387390089,0.0077660515992541927,0.30500724731751039,-0.0072551178978788981,0.023187244975356916,0.029521690743960247,0.020836602552603622,0.0018905654911624051,0.010345344787025654,0.85499769138380777,-0.018385937699057071,0.022167068681381883,17,0.96867488297600135,
28,realized_volatility_trailing_24h__R__72h,realized_volatility_trailing_24h,R,72,MULTIPLICITY_NOT_MET,true,true,399,132,134,133,0.025337247677256144,0.018812171672428945,0.0028626350670596743,0.0034893096121927495,0.41198722353998163,-0.0039762861037475382,0.009701556237866886,0.030386180487074629,0.02462482226284203,0.0058308220014459148,0.012069137911231952,0.62901170508549509,-0.017824253629015685,0.029485897631907516,0.029523897083178926,0.020793808079161428,0.010700307583816602,0.010471911998604845,0.30687069150715129,-0.0098242627827217523,0.031224877950354956,8,0.9620085770959278,
29,realized_volatility_trailing_24h__R__168h,realized_volatility_trailing_24h,R,168,MULTIPLICITY_NOT_MET,true,true,389,124,133,132,0.025243738142535211,0.018922050107628229,0.0029226052792207502,0.0050294181995092719,0.56117166997262458,-0.006934873255007707,0.012780083813449208,0.030284890776487921,0.025174677042358328,0.0035469371965611948,0.015562142256670746,0.81970774806955271,-0.026954301148802349,0.034048175541924741,0.029495454498629711,0.021004351766037679,0.00247264599905162,0.017746502291152034,0.88918823419304016,-0.032309859343163917,0.037255151341267161,14,0.9620085770959278,
30,realized_volatility_trailing_24h__M__24h,realized_volatility_trailing_24h,M,24,SUPPORTED_RESEARCH_ASSOCIATION,true,true,403,135,134,134,0.025319382673972754,0.018863255627188782,0.0081461565650519877,0.0023106994109514936,0.00042283213822549344,0.0036172689404891422,0.012675044189614834,0.030362622298470834,0.02461886844524961,0.017807126787871112,0.0053533504732394743,0.00087990808109135704,0.0073147526637012874,0.028299500912040934,0.029521690743960247,0.020836602552603622,0.0089391554435691595,0.0058158342523772213,0.12428412216082835,-0.0024596702311446249,0.020337981118282944,3,0.0033826571058039475,
31,realized_volatility_trailing_24h__M__72h,realized_volatility_trailing_24h,M,72,SUPPORTED_RESEARCH_ASSOCIATION,true,true,399,132,134,133,0.025337247677256144,0.018812171672428945,0.0079936671973496222,0.0032738583167806821,0.014619681962443046,0.0015770228059725621,0.014410311588726682,0.030386180487074629,0.02462482226284203,0.019638094371405953,0.0085074835881214922,0.020980692522885397,0.0029637329396222378,0.036312455803189668,0.029523897083178926,0.020793808079161428,0.0033627162718099647,0.0052913512194350028,0.52509465673252453,-0.0070081415478347366,0.013733574091454667,8,0.04385904588732914,
32,realized_volatility_trailing_24h__M__168h,realized_volatility_trailing_24h,M,168,SUPPORTED_RESEARCH_ASSOCIATION,true,true,389,124,133,132,0.025243738142535211,0.018922050107628229,0.011504330470319324,0.0034885124702228655,0.00097454066857035021,0.0046669716690636498,0.018341689271574996,0.030284890776487921,0.025174677042358328,0.022001895120566009,0.011710012725371257,0.060258706205081856,-0.00094930807966737626,0.044953098320799398,0.029495454498629711,0.021004351766037679,0.012676419009964777,0.0095802588906600348,0.18577510718870383,-0.0061005433782985417,0.031453381398228092,4,0.0058472440114221008,
33,realized_volatility_trailing_24h__V__24h,realized_volatility_trailing_24h,V,24,SUPPORTED_RESEARCH_ASSOCIATION,true,true,403,135,134,134,0.025319382673972754,0.018863255627188782,0.012745964338183912,0.0010095899730764586,1.5395259019003585e-36,0.01076720435180129,0.014724724324566533,0.030362622298470834,0.02461886844524961,0.019965411443466141,0.0034158068086241849,5.065498725313795e-09,0.013270553120416037,0.026660269766516247,0.029521690743960247,0.020836602552603622,0.019520888375825388,0.0035742144204060685,4.7189289771387541e-08,0.012515556838805789,0.026526219912844987,2,1.8474310822804302e-35,
34,realized_volatility_trailing_24h__V__72h,realized_volatility_trailing_24h,V,72,SUPPORTED_RESEARCH_ASSOCIATION,true,true,399,132,134,133,0.025337247677256144,0.018812171672428945,0.017333481107299483,0.0019349306200841404,3.3004371319465735e-19,0.013541086779350814,0.021125875435248152,0.030386180487074629,0.02462482226284203,0.028506387984694521,0.0058631274277656398,1.1621940147812184e-06,0.017014869389504902,0.03999790657988414,0.029523897083178926,0.020793808079161428,0.021989429620521465,0.0030889726227852749,1.0895993815440847e-12,0.015935154530632097,0.028043704710410833,7,1.1315784452388253e-18,
35,realized_volatility_trailing_24h__V__168h,realized_volatility_trailing_24h,V,168,SUPPORTED_RESEARCH_ASSOCIATION,true,true,389,124,133,132,0.025243738142535211,0.018922050107628229,0.025369673184088996,0.0027782657250462954,6.7570211654845717e-20,0.019924372423516197,0.030814973944661796,0.030284890776487921,0.025174677042358328,0.041363285262132753,0.0077693642473634856,1.0156813270786186e-07,0.026135611154527179,0.056590959369738326,0.029495454498629711,0.021004351766037679,0.026471553036248065,0.0033315030188758674,1.9289649154468865e-15,0.0199419271048649,0.033001178967631231,6,2.7028084661938287e-19,
36,realized_volatility_trailing_168h__R__24h,realized_volatility_trailing_168h,R,24,MULTIPLICITY_NOT_MET,true,true,403,135,134,134,0.082457021876644984,0.046126593586365852,0.00043144747494115076,0.0028485876321237102,0.8796127535479451,-0.005151681690827554,0.0060145766407098547,0.093840776093923911,0.060406338919097073,0.011676866202320221,0.0065367100079429859,0.074042252427981597,-0.0011348499906305622,0.024488582395271005,0.093050909455867609,0.051388882212572984,0.0051232505571656671,0.0076262321128711535,0.50171538489077183,-0.0098238897218045941,0.020070390836135928,21,0.96867488297600135,
37,realized_volatility_trailing_168h__R__72h,realized_volatility_trailing_168h,R,72,MULTIPLICITY_NOT_MET,true,true,399,132,134,133,0.082449838130814274,0.046120783378708979,0.0017900879530491096,0.0037816874491721831,0.63595855379287713,-0.0056218832481155154,0.0092020591542137341,0.093789771303211644,0.060669718361794522,0.01369607106044193,0.0096240853768953909,0.15470610944644123,-0.005166789662411627,0.032558931783295483,0.093016690537490981,0.051431753403681398,0.005222525627312808,0.0077618426508333262,0.501045200034546,-0.009990406421987414,0.02043545767661303,15,0.96867488297600135,
38,realized_volatility_trailing_168h__R__168h,realized_volatility_trailing_168h,R,168,MULTIPLICITY_NOT_MET,true,false,389,124,133,132,0.08210009006892767,0.045992977444366062,0.0034423794814701343,0.0052981948005977912,0.51586866939263532,-0.00694189151077891,0.013826650473719178,0.093044184421702203,0.061186770848046447,0.011576487986102906,0.012327511491919973,0.34769098397928677,-0.01258499055706387,0.03573796652926968,0.092761146062395022,0.05146923317339059,-0.0035879770839239884,0.011876602732171674,0.76257227672051453,-0.026865690697670475,0.019689736529822498,12,0.9620085770959278,
39,realized_volatility_trailing_168h__M__24h,realized_volatility_trailing_168h,M,24,SUPPORTED_RESEARCH_ASSOCIATION,true,true,403,135,134,134,0.082457021876644984,0.046126593586365852,0.0089640817407684956,0.0021338014354535901,2.6574854353768477e-05,0.0047819077771195902,0.013146255704417402,0.093840776093923911,0.060406338919097073,0.013351057511369184,0.0039611403905186315,0.00075029580586879606,0.0055873650082457413,0.021114750014492627,0.093050909455867609,0.051388882212572984,0.0079424592325333006,0.0047034670643799981,0.09128857853265146,-0.001276166816121832,0.017161085281188433,1,0.0006377965044904435,
40,realized_volatility_trailing_168h__M__72h,realized_volatility_trailing_168h,M,72,SUPPORTED_RESEARCH_ASSOCIATION,true,true,399,132,134,133,0.082449838130814274,0.046120783378708979,0.0091519387176430596,0.0032123472821077772,0.0043858540715420733,0.0028558537388766875,0.015448023696409432,0.093789771303211644,0.060669718361794522,0.012615452160068888,0.0064727051919067904,0.051292662047221986,-7.0816898613840912e-05,0.025301721218751617,0.093016690537490981,0.051431753403681398,0.00027949333595420425,0.0054702619269005924,0.95925123278728919,-0.010442023026771635,0.011001009698680043,5,0.021052099543401953,
41,realized_volatility_trailing_168h__M__168h,realized_volatility_trailing_168h,M,168,SUPPORTED_RESEARCH_ASSOCIATION,true,true,389,124,133,132,0.08210009006892767,0.045992977444366062,0.0099489363911283348,0.0036383498458999529,0.0062481942074464093,0.0028179017300075711,0.0170799710522491,0.093044184421702203,0.061186770848046447,0.0040697572217530658,0.009404445617235262,0.66519768514557764,-0.014362617482593607,0.02250213192609974,0.092761146062395022,0.05146923317339059,0.00045596467437610758,0.0087163031908251611,0.95828032747133696,-0.016627675657972765,0.017539605006724978,6,0.024992776829785637,
42,realized_volatility_trailing_168h__V__24h,realized_volatility_trailing_168h,V,24,SUPPORTED_RESEARCH_ASSOCIATION,true,true,403,135,134,134,0.082457021876644984,0.046126593586365852,0.012790454777499053,0.00084880937963445556,2.6017819871749916e-51,0.011126818963675733,0.014454090591322372,0.093840776093923911,0.060406338919097073,0.017607231800090935,0.0031599000227218051,2.5170842247903379e-08,0.0114139415608089,0.023800522039372971,0.093050909455867609,0.051388882212572984,0.016941057764022518,0.0030154081991761923,1.9299727845641533e-08,0.011030966294950399,0.022851149233094635,1,6.2442767692199801e-50,
43,realized_volatility_trailing_168h__V__72h,realized_volatility_trailing_168h,V,72,SUPPORTED_RESEARCH_ASSOCIATION,true,true,399,132,134,133,0.082449838130814274,0.046120783378708979,0.018186085457430962,0.0017899863757768726,2.9937841911795419e-24,0.014677776628090913,0.021694394286771012,0.093789771303211644,0.060669718361794522,0.023091035012584801,0.0047542463148507229,1.1922054448499637e-06,0.013772883461845109,0.032409186563324491,0.093016690537490981,0.051431753403681398,0.021209414161246869,0.0036762659112281977,7.9610064653616015e-09,0.014004065377647278,0.028414762944846461,4,1.7962705147077251e-23,
44,realized_volatility_trailing_168h__V__168h,realized_volatility_trailing_168h,V,168,SUPPORTED_RESEARCH_ASSOCIATION,true,true,389,124,133,132,0.08210009006892767,0.045992977444366062,0.025390178989595225,0.0024016396944385693,4.0175356998212657e-26,0.020683051684653848,0.030097306294536601,0.093044184421702203,0.061186770848046447,0.032760748409600735,0.0058755815285411739,2.4647176632750859e-08,0.021244820225431234,0.044276676593770235,0.092761146062395022,0.05146923317339059,0.025747431183232423,0.0045024705448429587,1.0746102138073314e-08,0.016922751073887791,0.034572111292577055,3,3.2140285598570125e-25,
45,distance_from_mean_trailing_168h__R__24h,distance_from_mean_trailing_168h,R,24,MULTIPLICITY_NOT_MET,true,true,403,135,134,134,0.0032090042416358395,0.044710901365827158,0.0020277777612929719,0.0027728168244345328,0.46459222666095235,-0.0034068433503254341,0.007462398872911378,0.0033625404260802603,0.051284927632630414,0.0043045272649041696,0.0057413291674236148,0.45340888412468738,-0.0069482711266354502,0.015557325656443789,0.0038271526892422287,0.049888321079368629,0.0064045616428356324,0.0052319903889349864,0.22090857947932929,-0.0038499510869366505,0.016659074372607916,10,0.9620085770959278,
46,distance_from_mean_trailing_168h__R__72h,distance_from_mean_trailing_168h,R,72,MULTIPLICITY_NOT_MET,true,true,399,132,134,133,0.0030653264604723713,0.044526829059290077,0.0032856588778073818,0.0038385994884493797,0.39202404664434365,-0.004237857870627278,0.010809175626242042,0.0029396999044344939,0.050790870615679169,0.0097543478004874628,0.0081066291962541438,0.22887738574072936,-0.006134353460191545,0.025643049061166469,0.0036225620423709685,0.049623223914481915,0.0022127149104156116,0.0064600196795174241,0.73195622116611281,-0.010448691000858521,0.014874120821689745,7,0.9620085770959278,
