signal_date,status,entry_date,expiration,entry_credit_dollars,exit_date,exit_debit_dollars,gross_dollars,midpoint_pnl_dollars,net_dollars,put_net_dollars,call_net_dollars,zero_size_long_exits,max_wing_dollars,missing_daily_marks
2013-03-01,CLOSED,2013-03-04,2013-04-05,37.0,2013-04-01,36.0,1.0000000000000009,8.000000000000007,-4.199999999999999,10.399999999999999,-14.599999999999994,1.0,300.0,0.0
2013-04-01,CLOSED,2013-04-02,2013-05-03,60.0,2013-04-26,25.0,35.0,43.49999999999999,29.8,8.4,21.399999999999995,0.0,300.0,0.0
2013-05-01,CLOSED,2013-05-02,2013-05-31,62.0,2013-05-24,213.0,-150.99999999999997,-140.0,-156.19999999999996,9.400000000000002,-165.6,0.0,300.0,0.0
2013-06-03,CLOSED,2013-06-04,2013-07-05,46.999999999999986,2013-06-28,17.0,29.999999999999982,39.99999999999999,24.799999999999983,9.39999999999999,15.4,1.0,300.0,0.0
2013-07-01,CLOSED,2013-07-02,2013-08-02,60.0,2013-07-26,198.99999999999997,-138.99999999999997,-126.0,-144.19999999999996,21.400000000000002,-165.6,1.0,300.0,0.0
2013-08-01,CLOSED,2013-08-02,2013-09-06,45.00000000000001,2013-08-30,67.0,-21.999999999999986,-10.999999999999998,-27.199999999999985,-52.599999999999994,25.400000000000002,1.0,400.0,0.0
2013-09-03,CLOSED,2013-09-04,2013-10-04,67.0,2013-09-27,75.0,-8.000000000000007,-1.000000000000023,-13.200000000000006,13.399999999999995,-26.60000000000001,0.0,300.0,0.0
2013-10-01,CLOSED,2013-10-02,2013-11-01,56.999999999999986,2013-10-25,146.0,-89.00000000000001,-77.00000000000001,-94.20000000000002,22.399999999999988,-116.60000000000001,0.0,350.0,0.0
2013-11-01,CLOSED,2013-11-04,2013-12-06,62.0,2013-11-29,109.00000000000001,-47.00000000000001,-36.00000000000002,-52.20000000000001,9.400000000000004,-61.60000000000001,0.0,400.0,0.0
2013-12-02,CLOSED,2013-12-03,2014-01-03,30.000000000000004,2013-12-27,15.0,15.000000000000005,23.500000000000004,9.800000000000004,11.400000000000004,-1.600000000000001,0.0,400.0,0.0
2014-01-02,NO_GEOMETRY,,,,,,,,,,,,,
2014-02-03,NO_GEOMETRY,,,,,,,,,,,,,
2014-03-03,CLOSED,2014-03-04,2014-04-04,53.0,2014-03-28,5.0,48.00000000000001,57.99999999999999,42.800000000000004,-1.6000000000000034,44.4,1.0,300.0,0.0
2014-04-01,CLOSED,2014-04-02,2014-05-09,39.0,2014-05-02,6.0,33.0,42.99999999999999,27.8,16.400000000000002,11.399999999999999,1.0,350.0,0.0
2014-05-01,CLOSED,2014-05-02,2014-06-06,47.0,2014-05-30,33.0,13.999999999999996,25.999999999999996,8.799999999999997,19.399999999999995,-10.600000000000001,1.0,400.0,0.0
2014-06-02,CLOSED,2014-06-03,2014-07-03,53.0,2014-06-26,30.000000000000004,23.0,30.999999999999993,17.8,23.4,-5.6000000000000005,0.0,350.0,0.0
2014-07-01,CLOSED,2014-07-02,2014-08-08,43.0,2014-08-01,48.00000000000001,-5.00000000000001,4.999999999999993,-10.20000000000001,-28.600000000000012,18.400000000000002,1.0,500.0,0.0
2014-08-01,CLOSED,2014-08-04,2014-09-05,53.0,2014-08-29,150.0,-97.0,-85.50000000000001,-102.2,13.399999999999999,-115.59999999999998,0.0,350.0,0.0
2014-09-02,CLOSED,2014-09-03,2014-10-10,63.0,2014-10-03,19.0,44.0,56.499999999999986,38.8,7.4,31.4,1.0,500.0,0.0
2014-10-01,NO_GEOMETRY,,,,,,,,,,,,,
2014-11-03,CLOSED,2014-11-04,2014-12-05,61.00000000000001,2014-11-28,80.0,-18.999999999999993,-4.499999999999982,-24.199999999999992,23.4,-47.6,0.0,450.0,0.0
2014-12-01,CLOSED,2014-12-02,2015-01-02,47.0,2014-12-26,11.0,36.0,45.5,30.8,8.4,22.399999999999995,0.0,450.0,0.0
2015-01-02,CLOSED,2015-01-05,2015-02-06,72.00000000000001,2015-01-30,59.00000000000001,13.0,31.999999999999996,7.8,0.4000000000000026,7.4,1.0,450.0,0.0
2015-02-02,CLOSED,2015-02-03,2015-03-06,95.0,2015-02-27,157.99999999999997,-62.999999999999986,-50.0,-68.19999999999999,19.4,-87.6,0.0,500.0,0.0
2015-03-02,CLOSED,2015-03-03,2015-04-02,60.0,2015-03-26,59.0,1.0000000000000009,10.999999999999998,-4.199999999999999,-23.599999999999998,19.399999999999995,1.0,400.0,0.0
2015-04-01,CLOSED,2015-04-02,2015-05-08,67.0,2015-05-01,17.0,50.0,62.000000000000014,44.8,21.400000000000002,23.4,1.0,450.0,0.0
2015-05-01,CLOSED,2015-05-04,2015-06-05,73.0,2015-05-29,10.999999999999998,62.0,72.5,56.8,16.399999999999995,40.39999999999999,1.0,400.0,0.0
2015-06-01,CLOSED,2015-06-02,2015-07-02,61.00000000000001,2015-06-25,13.999999999999998,47.00000000000001,55.49999999999999,41.800000000000004,20.40000000000001,21.400000000000002,0.0,400.0,0.0
2015-07-01,CLOSED,2015-07-02,2015-08-07,83.0,2015-07-31,5.0,77.99999999999999,102.50000000000001,72.79999999999998,41.39999999999999,31.4,1.0,600.0,0.0
2015-08-03,CLOSED,2015-08-04,2015-09-04,60.0,2015-08-28,163.0,-103.00000000000003,-82.5,-108.20000000000003,-128.6,20.4,1.0,450.0,0.0
2015-09-01,CLOSED,2015-09-02,2015-10-09,73.00000000000001,2015-10-02,5.0,68.0,82.0,62.8,18.400000000000006,44.4,1.0,500.0,0.0
2015-10-01,CLOSED,2015-10-02,2015-11-06,75.0,2015-10-30,247.99999999999994,-172.99999999999994,-132.99999999999994,-178.19999999999993,20.4,-198.6,0.0,400.0,0.0
2015-11-02,CLOSED,2015-11-03,2015-12-04,59.999999999999986,2015-11-27,11.0,48.999999999999986,58.5,43.79999999999998,16.39999999999999,27.39999999999999,1.0,500.0,0.0
2015-12-01,CLOSED,2015-12-02,2016-01-08,64.99999999999999,2016-01-04,72.0,-7.000000000000006,4.499999999999993,-12.200000000000006,-29.60000000000001,17.4,1.0,550.0,0.0
2016-01-04,CLOSED,2016-01-05,2016-02-05,88.99999999999999,2016-01-29,65.99999999999999,23.0,32.50000000000001,17.8,-19.6,37.39999999999999,1.0,500.0,0.0
2016-02-01,CLOSED,2016-02-02,2016-03-04,75.0,2016-02-26,7.000000000000001,68.0,75.00000000000001,62.8,48.4,14.4,1.0,400.0,0.0
2016-03-01,NO_GEOMETRY,,,,,,,,,,,,,
2016-04-01,CLOSED,2016-04-04,2016-05-06,63.99999999999999,2016-04-29,9.0,54.99999999999999,59.999999999999986,49.79999999999999,25.399999999999995,24.4,1.0,450.0,0.0
2016-05-02,CLOSED,2016-05-03,2016-06-03,57.99999999999999,2016-05-27,6.0,52.0,59.999999999999986,46.8,28.39999999999999,18.400000000000002,0.0,450.0,0.0
2016-06-01,CLOSED,2016-06-02,2016-07-08,67.0,2016-07-01,6.0,60.999999999999986,67.0,55.79999999999998,23.399999999999995,32.4,1.0,400.0,0.0
2016-07-01,CLOSED,2016-07-05,2016-08-05,61.0,2016-07-29,187.0,-126.00000000000003,-118.49999999999999,-131.20000000000002,32.4,-163.6,0.0,400.0,0.0
2016-08-01,CLOSED,2016-08-02,2016-09-02,66.00000000000001,2016-08-26,8.0,58.00000000000002,64.50000000000001,52.80000000000002,35.400000000000006,17.400000000000002,1.0,450.0,0.0
2016-09-01,CLOSED,2016-09-02,2016-10-05,48.00000000000001,2016-09-28,6.000000000000001,42.00000000000001,50.99999999999999,36.800000000000004,15.400000000000004,21.400000000000002,1.0,450.0,0.0
2016-10-03,CLOSED,2016-10-04,2016-11-04,64.99999999999999,2016-10-28,17.0,47.999999999999986,53.99999999999999,42.79999999999998,21.399999999999988,21.399999999999995,1.0,450.0,0.0
2016-11-01,NO_GEOMETRY,,,,,,,,,,,,,
2016-12-01,CLOSED,2016-12-02,2017-01-04,71.0,2016-12-28,64.0,6.999999999999995,14.000000000000002,1.7999999999999945,35.400000000000006,-33.60000000000001,0.0,500.0,0.0
2017-01-03,NO_GEOMETRY,,,,,,,,,,,,,
2017-02-01,CLOSED,2017-02-02,2017-03-08,69.0,2017-03-01,408.0,-339.0,-325.4999999999999,-344.2,36.39999999999999,-380.59999999999997,0.0,550.0,0.0
2017-03-01,NO_GEOMETRY,,,,,,,,,,,,,
2017-04-03,CLOSED,2017-04-04,2017-05-05,57.00000000000001,2017-04-28,7.000000000000001,50.0,55.99999999999999,44.8,20.400000000000006,24.4,1.0,500.0,0.0
2017-05-01,CLOSED,2017-05-02,2017-06-02,64.00000000000001,2017-05-26,17.0,47.00000000000001,52.99999999999999,41.800000000000004,19.400000000000006,22.4,1.0,500.0,0.0
2017-06-01,NO_GEOMETRY,,,,,,,,,,,,,
2017-07-03,CLOSED,2017-07-05,2017-08-04,59.0,2017-07-28,61.0,-2.0000000000000018,3.0000000000000027,-7.200000000000002,19.399999999999995,-26.599999999999994,0.0,550.0,0.0
2017-08-01,NO_GEOMETRY,,,,,,,,,,,,,
2017-09-01,CLOSED,2017-09-05,2017-10-06,52.99999999999999,2017-09-29,32.0,20.99999999999999,25.999999999999996,15.79999999999999,38.4,-22.6,0.0,500.0,0.0
2017-10-02,CLOSED,2017-10-03,2017-11-03,53.0,2017-10-27,105.0,-52.0,-46.0,-57.2,17.4,-74.6,0.0,500.0,0.0
2017-11-01,NO_GEOMETRY,,,,,,,,,,,,,
2017-12-01,CLOSED,2017-12-04,2018-01-05,58.00000000000001,2017-12-29,6.999999999999999,51.000000000000014,58.50000000000001,45.80000000000001,26.400000000000002,19.399999999999995,1.0,500.0,0.0
2018-01-02,NO_GEOMETRY,,,,,,,,,,,,,
2018-02-01,CLOSED,2018-02-02,2018-03-07,92.0,2018-02-28,101.99999999999999,-9.999999999999975,7.000000000000028,-15.199999999999974,-21.599999999999984,6.400000000000002,1.0,500.0,0.0
2018-03-01,CLOSED,2018-03-02,2018-04-04,60.00000000000001,2018-03-28,40.0,20.00000000000001,33.000000000000014,14.800000000000011,-12.599999999999993,27.400000000000002,1.0,500.0,0.0
2018-04-02,CLOSED,2018-04-03,2018-05-07,131.99999999999997,2018-04-30,22.0,109.99999999999999,121.00000000000001,104.79999999999998,28.39999999999998,76.4,0.0,500.0,0.0
2018-05-01,CLOSED,2018-05-02,2018-06-04,69.0,2018-05-29,27.0,42.00000000000001,53.0,36.800000000000004,30.400000000000013,6.400000000000002,0.0,600.0,0.0
2018-06-01,CLOSED,2018-06-04,2018-07-06,74.0,2018-06-29,13.999999999999998,60.0,68.5,54.8,9.4,45.4,1.0,600.0,0.0
2018-07-02,CLOSED,2018-07-03,2018-08-06,80.0,2018-07-30,148.0,-68.0,-58.00000000000001,-73.2,40.39999999999999,-113.59999999999998,0.0,500.0,0.0
2018-08-01,CLOSED,2018-08-02,2018-09-05,89.99999999999999,2018-08-29,380.0,-290.00000000000006,-272.5,-295.20000000000005,17.399999999999995,-312.6000000000001,0.0,700.0,0.0
2018-09-04,NO_GEOMETRY,,,,,,,,,,,,,
2018-10-01,CLOSED,2018-10-02,2018-11-05,52.0,2018-10-29,553.0000000000001,-501.00000000000017,-422.50000000000006,-506.20000000000016,-529.6000000000001,23.399999999999995,1.0,500.0,0.0
2018-11-01,CLOSED,2018-11-02,2018-12-05,100.0,2018-11-28,27.0,73.0,82.5,67.8,38.39999999999999,29.4,0.0,500.0,0.0
2018-12-03,CLOSED,2018-12-04,2019-01-07,115.00000000000001,2018-12-31,544.0,-428.9999999999999,-337.4999999999999,-434.1999999999999,-441.6000000000001,7.4,1.0,500.0,0.0
2019-01-02,CLOSED,2019-01-03,2019-02-06,97.0,2019-01-30,290.00000000000006,-193.00000000000003,-182.00000000000003,-198.20000000000002,69.4,-267.6000000000001,0.0,500.0,0.0
2019-02-01,CLOSED,2019-02-04,2019-03-08,92.0,2019-03-01,126.0,-34.0,-28.000000000000004,-39.2,23.4,-62.6,0.0,600.0,0.0
2019-03-01,CLOSED,2019-03-04,2019-04-05,78.0,2019-03-29,17.0,61.00000000000001,68.0,55.800000000000004,44.4,11.399999999999999,1.0,600.0,0.0
2019-04-01,CLOSED,2019-04-02,2019-05-06,81.0,2019-04-29,89.0,-8.000000000000007,0.49999999999998934,-13.200000000000006,36.39999999999999,-49.6,0.0,500.0,0.0
2019-05-01,CLOSED,2019-05-02,2019-06-05,75.0,2019-05-29,211.0,-136.0,-121.50000000000006,-141.2,-170.60000000000002,29.4,1.0,500.0,0.0
2019-06-03,CLOSED,2019-06-04,2019-07-08,175.99999999999997,2019-07-01,512.9999999999999,-336.99999999999994,-301.0,-342.19999999999993,12.400000000000006,-354.59999999999997,1.0,500.0,0.0
2019-07-01,CLOSED,2019-07-02,2019-08-05,71.0,2019-07-29,47.0,23.999999999999993,29.5,18.799999999999994,19.4,-0.6000000000000045,0.0,500.0,0.0
2019-08-01,CLOSED,2019-08-02,2019-09-04,85.00000000000001,2019-08-28,38.99999999999999,46.000000000000014,54.00000000000003,40.80000000000001,19.40000000000001,21.4,1.0,500.0,0.0
2019-09-04,CLOSED,2019-09-05,2019-10-09,103.0,2019-10-02,27.0,76.0,81.99999999999999,70.8,2.399999999999993,68.4,1.0,500.0,0.0
2019-10-01,CLOSED,2019-10-02,2019-11-04,101.99999999999999,2019-10-28,76.0,25.99999999999998,32.49999999999999,20.79999999999998,77.39999999999999,-56.6,0.0,500.0,0.0
2019-11-01,CLOSED,2019-11-04,2019-12-06,92.0,2019-11-29,84.0,7.9999999999999964,12.999999999999979,2.7999999999999963,30.39999999999999,-27.599999999999994,0.0,650.0,0.0
2019-12-02,CLOSED,2019-12-03,2020-01-06,94.0,2019-12-30,234.0,-140.0,-131.99999999999997,-145.2,54.400000000000006,-199.59999999999997,0.0,500.0,0.0
2020-01-02,CLOSED,2020-01-03,2020-02-05,64.0,2020-01-29,23.000000000000004,41.0,48.000000000000014,35.8,32.4,3.400000000000001,0.0,500.0,0.0
2020-02-03,CLOSED,2020-02-04,2020-03-09,186.0,2020-03-02,135.99999999999997,50.00000000000002,62.500000000000064,44.80000000000002,-107.59999999999998,152.39999999999998,0.0,500.0,0.0
2020-03-02,CLOSED,2020-03-03,2020-04-06,83.00000000000006,2020-03-30,360.00000000000017,-277.0000000000001,-219.00000000000017,-282.2000000000001,-292.60000000000025,10.400000000000004,1.0,500.0,0.0
2020-04-01,CLOSED,2020-04-02,2020-05-06,162.0,2020-04-29,474.99999999999983,-312.99999999999983,-279.0000000000001,-318.1999999999998,42.39999999999999,-360.59999999999985,0.0,500.0,0.0
2020-05-01,CLOSED,2020-05-04,2020-06-05,134.0,2020-05-29,296.00000000000006,-162.00000000000006,-151.49999999999994,-167.20000000000005,49.4,-216.60000000000005,0.0,600.0,0.0
2020-06-01,CLOSED,2020-06-02,2020-07-06,94.00000000000001,2020-06-29,15.000000000000002,79.00000000000001,88.50000000000003,73.80000000000001,32.40000000000002,41.4,0.0,500.0,0.0
2020-07-01,CLOSED,2020-07-02,2020-08-05,109.00000000000003,2020-07-29,87.00000000000001,22.00000000000002,32.000000000000014,16.800000000000022,41.40000000000001,-24.60000000000001,0.0,500.0,0.0
2020-08-03,CLOSED,2020-08-04,2020-09-08,118.00000000000001,2020-09-01,411.99999999999994,-293.9999999999999,-283.4999999999998,-299.1999999999999,42.40000000000002,-341.59999999999997,0.0,500.0,0.0
2020-09-01,CLOSED,2020-09-02,2020-10-05,127.0,2020-09-28,65.0,62.0,77.99999999999999,56.8,-37.6,94.4,1.0,500.0,0.0
2020-10-01,CLOSED,2020-10-02,2020-11-04,111.99999999999997,2020-10-28,62.999999999999986,48.99999999999998,69.99999999999993,43.799999999999976,-3.600000000000001,47.39999999999999,1.0,800.0,0.0
2020-11-02,CLOSED,2020-11-03,2020-12-07,138.0,2020-11-30,403.0,-265.00000000000006,-238.0,-270.20000000000005,36.39999999999999,-306.6,0.0,500.0,0.0
2020-12-01,CLOSED,2020-12-02,2021-01-04,112.99999999999999,2020-12-28,15.000000000000002,97.99999999999999,109.49999999999997,92.79999999999998,29.399999999999988,63.4,0.0,800.0,0.0
2021-01-04,CLOSED,2021-01-05,2021-02-08,135.0,2021-02-01,36.00000000000001,99.0,117.5,93.8,25.400000000000006,68.4,0.0,800.0,0.0
2021-02-01,CLOSED,2021-02-02,2021-03-08,212.0,2021-03-01,112.99999999999999,99.00000000000003,122.50000000000001,93.80000000000003,14.399999999999997,79.4,0.0,1000.0,0.0
2021-03-01,CLOSED,2021-03-02,2021-04-05,119.00000000000004,2021-03-29,27.999999999999996,91.00000000000004,112.5,85.80000000000004,38.40000000000002,47.40000000000001,0.0,1000.0,0.0
2021-04-01,CLOSED,2021-04-05,2021-05-05,231.99999999999997,2021-04-28,421.0,-189.0,-174.49999999999997,-194.2,48.4,-242.59999999999994,0.0,1000.0,0.0
2021-05-03,CLOSED,2021-05-04,2021-06-07,169.99999999999997,2021-06-01,6.999999999999999,162.99999999999997,174.50000000000003,157.79999999999998,94.39999999999999,63.399999999999984,1.0,1000.0,0.0
2021-06-01,CLOSED,2021-06-02,2021-07-06,118.00000000000001,2021-06-29,9.0,109.00000000000001,117.5,103.80000000000001,58.400000000000006,45.400000000000006,1.0,1000.0,0.0
2021-07-01,CLOSED,2021-07-02,2021-08-04,139.0,2021-07-28,53.0,85.99999999999999,94.5,80.79999999999998,43.4,37.39999999999999,0.0,1000.0,0.0
2021-08-02,CLOSED,2021-08-03,2021-09-07,160.0,2021-08-31,102.0,58.00000000000001,67.0,52.800000000000004,53.400000000000006,-0.6000000000000001,0.0,1000.0,0.0
2021-09-01,CLOSED,2021-09-02,2021-10-06,126.99999999999999,2021-09-29,114.99999999999999,11.99999999999999,20.000000000000018,6.799999999999989,-62.60000000000002,69.4,1.0,1000.0,1.0
2021-10-01,CLOSED,2021-10-04,2021-11-05,151.0,2021-10-29,612.0,-461.00000000000006,-450.5,-466.20000000000005,91.4,-557.6,0.0,900.0,0.0
2021-11-01,CLOSED,2021-11-02,2021-12-06,161.0,2021-11-29,36.0,125.0,134.00000000000003,119.8,48.40000000000001,71.4,0.0,1000.0,0.0
2021-12-01,CLOSED,2021-12-02,2022-01-05,208.0,2021-12-29,431.00000000000006,-223.00000000000006,-199.99999999999994,-228.20000000000005,50.4,-278.6,0.0,1000.0,0.0
2022-01-03,CLOSED,2022-01-04,2022-02-07,146.00000000000003,2022-01-31,324.0,-177.99999999999997,-166.99999999999997,-183.19999999999996,-257.59999999999997,74.4,1.0,1100.0,0.0
2022-02-01,CLOSED,2022-02-02,2022-03-07,185.0,2022-02-28,101.99999999999999,83.00000000000003,99.00000000000004,77.80000000000003,-34.59999999999996,112.39999999999999,0.0,1000.0,0.0
2022-03-01,CLOSED,2022-03-02,2022-04-04,199.00000000000003,2022-03-28,157.99999999999997,41.000000000000036,94.49999999999996,35.80000000000003,43.40000000000002,-7.599999999999991,0.0,1000.0,0.0
2022-04-01,CLOSED,2022-04-04,2022-05-06,174.0,2022-04-29,486.99999999999994,-312.9999999999999,-280.0000000000001,-318.1999999999999,-437.59999999999997,119.4,1.0,900.0,0.0
2022-05-02,CLOSED,2022-05-03,2022-06-06,190.0,2022-05-31,4.0,186.0,195.49999999999997,180.8,72.39999999999998,108.40000000000002,0.0,1000.0,0.0
2022-06-01,CLOSED,2022-06-02,2022-07-06,283.0,2022-06-29,209.0,74.00000000000003,86.00000000000003,68.80000000000003,-143.6,212.40000000000003,1.0,1100.0,0.0
2022-07-01,CLOSED,2022-07-05,2022-08-05,188.99999999999997,2022-07-29,428.0,-239.00000000000006,-231.5000000000001,-244.20000000000005,89.39999999999998,-333.6000000000001,0.0,800.0,0.0
2022-08-01,CLOSED,2022-08-02,2022-09-06,193.00000000000003,2022-08-30,32.0,161.00000000000003,171.5,155.80000000000004,77.40000000000005,78.4,1.0,1000.0,0.0
2022-09-01,CLOSED,2022-09-02,2022-10-05,142.00000000000003,2022-09-28,136.0,6.000000000000005,15.49999999999998,0.8000000000000052,-71.6,72.4,1.0,1000.0,0.0
2022-10-03,CLOSED,2022-10-04,2022-11-07,167.00000000000003,2022-10-31,119.0,48.00000000000002,57.500000000000014,42.80000000000002,28.399999999999988,14.400000000000036,0.0,500.0,0.0
2022-11-01,CLOSED,2022-11-02,2022-12-05,151.99999999999994,2022-11-28,10.0,141.99999999999994,147.99999999999991,136.79999999999995,110.39999999999995,26.400000000000002,0.0,800.0,0.0
2022-12-01,CLOSED,2022-12-02,2023-01-06,165.0,2022-12-30,254.0,-89.00000000000001,-83.5,-94.20000000000002,-166.60000000000002,72.4,1.0,1000.0,0.0
2023-01-03,CLOSED,2023-01-04,2023-02-10,176.00000000000003,2023-02-03,508.0,-332.0,-321.50000000000006,-337.2,47.4,-384.6,0.0,800.0,0.0
2023-02-01,CLOSED,2023-02-02,2023-03-10,170.0,2023-03-03,24.0,146.0,180.99999999999997,140.8,25.400000000000002,115.4,1.0,800.0,0.0
2023-03-01,CLOSED,2023-03-02,2023-04-06,186.0,2023-03-30,17.0,169.00000000000003,175.0,163.80000000000004,66.4,97.4,0.0,800.0,0.0
2023-04-03,CLOSED,2023-04-04,2023-05-05,163.99999999999997,2023-04-28,12.0,151.99999999999994,156.99999999999997,146.79999999999995,83.4,63.399999999999984,0.0,800.0,0.0
2023-05-01,CLOSED,2023-05-02,2023-06-02,134.00000000000003,2023-05-26,23.000000000000004,111.00000000000003,116.00000000000001,105.80000000000003,86.40000000000002,19.399999999999995,0.0,800.0,0.0
2023-06-01,CLOSED,2023-06-02,2023-07-07,224.00000000000003,2023-06-30,673.0,-448.99999999999994,-420.49999999999994,-454.19999999999993,33.4,-487.5999999999999,0.0,900.0,0.0
2023-07-03,CLOSED,2023-07-05,2023-08-04,145.0,2023-07-28,131.0,13.99999999999999,17.999999999999993,8.79999999999999,70.4,-61.60000000000001,0.0,1000.0,0.0
2023-08-01,CLOSED,2023-08-02,2023-09-08,150.00000000000003,2023-09-01,7.999999999999999,142.00000000000003,146.49999999999997,136.80000000000004,100.4,36.4,1.0,900.0,0.0
2023-09-01,CLOSED,2023-09-05,2023-10-06,130.0,2023-09-29,433.0,-303.0,-295.49999999999994,-308.2,-351.6,43.4,1.0,900.0,0.0
2023-10-02,CLOSED,2023-10-03,2023-11-03,192.99999999999997,2023-10-27,177.99999999999997,14.999999999999991,20.499999999999986,9.79999999999999,-48.60000000000001,58.4,1.0,1000.0,0.0
2023-11-01,CLOSED,2023-11-02,2023-12-08,196.99999999999997,2023-12-01,774.9999999999998,-577.9999999999999,-561.4999999999999,-583.1999999999999,33.4,-616.5999999999999,0.0,800.0,0.0
2023-12-01,CLOSED,2023-12-04,2024-01-05,137.99999999999997,2023-12-29,263.0,-125.00000000000003,-119.50000000000007,-130.20000000000002,85.39999999999998,-215.59999999999994,0.0,900.0,0.0
