scenario,policy,period,asset,annualized_mean_contribution,sum_daily_return_contribution
cost10,volatility,2018_2020,QQQ,0.027637248482718542,0.08247305896430294
cost10,volatility,2018_2020,GLD,0.03198589157904989,0.09544996217240284
cost10,volatility,2021_2024,SPY,0.035977887464152786,0.1406278537785337
cost10,volatility,2021_2024,QQQ,0.028474503407362323,0.11129915022322179
cost10,volatility,2021_2024,GLD,0.02193960749364112,0.08575600548109724
cost10,volatility,2018,SPY,-0.014796346291105563,-0.014502767991678866
cost10,volatility,2018,QQQ,-0.008182161106888035,-0.008019816640481526
cost10,volatility,2018,GLD,-0.008919776975851357,-0.008742797273949545
cost10,volatility,2019,SPY,0.05520620377353435,0.05520620377353435
cost10,volatility,2019,QQQ,0.05064280448262829,0.05064280448262829
cost10,volatility,2019,GLD,0.05247635068040251,0.05247635068040251
cost10,volatility,2020,SPY,-0.0012221596730893367,-0.0012270095130619135
cost10,volatility,2020,QQQ,0.039692560959618005,0.03985007112215617
cost10,volatility,2020,GLD,0.05151199608308052,0.05171640876594989
cost10,volatility,2021,SPY,0.06305032737835756,0.06305032737835756
cost10,volatility,2021,QQQ,0.04454320896390712,0.04454320896390712
cost10,volatility,2021,GLD,-0.008192714507672809,-0.008192714507672809
cost10,volatility,2022,SPY,-0.036936253194621356,-0.03678968076130937
cost10,volatility,2022,QQQ,-0.04845679396007482,-0.04826450509515389
cost10,volatility,2022,GLD,0.0003203284857916513,0.0003190573410067638
cost10,volatility,2023,SPY,0.04850159337080583,0.048116660090085146
cost10,volatility,2023,QQQ,0.07250463582228764,0.07192920220465043
cost10,volatility,2023,GLD,0.030146463636761493,0.029907205988850688
cost10,volatility,2024,SPY,0.07196180112927972,0.06625054707140038
cost10,volatility,2024,QQQ,0.04680600657652659,0.043091244149818124
cost10,volatility,2024,GLD,0.0692157718881292,0.0637224566589126
cost10,volatility,exclude_2018,SPY,0.032913406782435935,0.19460704803900614
cost10,volatility,exclude_2018,QQQ,0.034128584233998366,0.20179202582800623
cost10,volatility,exclude_2018,GLD,0.03212556292732705,0.18994876492744964
cost10,volatility,exclude_2019,SPY,0.021194825064643645,0.12489807627379292
cost10,volatility,exclude_2019,QQQ,0.02428862625295212,0.14312940470489643
cost10,volatility,exclude_2019,GLD,0.021845025910586256,0.12872961697309757
cost10,volatility,exclude_2020,SPY,0.03079210577440571,0.18133128956038919
cost10,volatility,exclude_2020,QQQ,0.026137721558270138,0.15392213806536859
cost10,volatility,exclude_2020,GLD,0.0219887930186406,0.1294895588875502
cost10,volatility,exclude_2021,SPY,0.019863701058976682,0.11705395266896973
cost10,volatility,exclude_2021,QQQ,0.025323709128856318,0.1492290002236176
cost10,volatility,exclude_2021,GLD,0.03214038242735055,0.1893986821611729
cost10,volatility,exclude_2022,SPY,0.03678147922192222,0.2168939608086366
cost10,volatility,exclude_2022,QQQ,0.041045257065434056,0.24203671428267862
cost10,volatility,exclude_2022,GLD,0.03067530376766374,0.18088691031249332
cost10,volatility,exclude_2023,SPY,0.022367774195847356,0.13198761995724212
cost10,volatility,exclude_2023,QQQ,0.02064857952904124,0.12184300698287431
cost10,volatility,exclude_2023,GLD,0.02564040883624186,0.1512987616646494
cost10,volatility,exclude_2024,SPY,0.01906388087038776,0.1138537329759269
cost10,volatility,exclude_2024,QQQ,0.02523030112259273,0.1506809650377066
cost10,volatility,exclude_2024,GLD,0.019671657654907672,0.11748351099458748
cost10,logistic,all,SPY,0.03541456180904962,0.24410751532666347
cost10,logistic,all,QQQ,0.04429885741894428,0.30534569578058024
cost10,logistic,all,GLD,0.02970180119472888,0.20473027252080978
cost10,logistic,2018_2020,SPY,0.02946877917787744,0.08793857913398347
cost10,logistic,2018_2020,QQQ,0.05457588808669629,0.16286138032220482
cost10,logistic,2018_2020,GLD,0.03386282548099471,0.10105097127661915
cost10,logistic,2021_2024,SPY,0.039953880122391226,0.15616893619268
cost10,logistic,2021_2024,QQQ,0.03645284009696508,0.14248431545837542
cost10,logistic,2021_2024,GLD,0.02652505981069648,0.1036793012441906
cost10,logistic,2018,SPY,-0.019507693925817023,-0.019120636506653986
cost10,logistic,2018,QQQ,-0.0077102068520883355,-0.007557226557404043
cost10,logistic,2018,GLD,-0.011994283758005536,-0.011756301937410188
cost10,logistic,2019,SPY,0.0775629035132835,0.0775629035132835
cost10,logistic,2019,QQQ,0.08720028301995632,0.08720028301995632
cost10,logistic,2019,GLD,0.047125517442060894,0.047125517442060894
cost10,logistic,2020,SPY,0.029379725913411852,0.029496312127353964
cost10,logistic,2020,QQQ,0.0828893976783891,0.08321832385965255
cost10,logistic,2020,GLD,0.06542214408907526,0.06568175577196841
cost10,logistic,2021,SPY,0.07191326908110679,0.07191326908110679
cost10,logistic,2021,QQQ,0.06811678304489396,0.06811678304489396
cost10,logistic,2021,GLD,-0.009858723183129027,-0.009858723183129027
cost10,logistic,2022,SPY,-0.05454073966736147,-0.054324308160744954
cost10,logistic,2022,QQQ,-0.10214707344978663,-0.10174172792022398
cost10,logistic,2022,GLD,0.0005929438274097005,0.0005905908757136303
cost10,logistic,2023,SPY,0.06606549691695511,0.06554116757634434
cost10,logistic,2023,QQQ,0.11254416119789278,0.11165095356933806
cost10,logistic,2023,GLD,0.03762119318453829,0.03732261228624831
cost10,logistic,2024,SPY,0.07933525663528189,0.0730388076959738
cost10,logistic,2024,QQQ,0.07001505734750252,0.0644583067643674
cost10,logistic,2024,GLD,0.08214420240892303,0.0756248212653577
cost10,logistic,exclude_2018,SPY,0.04451912366576913,0.26322815183331744
cost10,logistic,exclude_2018,QQQ,0.05292049424776647,0.3129029223379843
cost10,logistic,exclude_2018,GLD,0.03661383675400767,0.21648657445821995
cost10,logistic,exclude_2019,SPY,0.028262115944088714,0.16654461181337993
cost10,logistic,exclude_2019,QQQ,0.03701861549877254,0.2181454127606239
cost10,logistic,exclude_2019,GLD,0.02674504934669678,0.15760475507874888
cost10,logistic,exclude_2020,SPY,0.03644341186403369,0.21461120319930949
cost10,logistic,exclude_2020,QQQ,0.037719742401666964,0.22212737192092769
cost10,logistic,exclude_2020,GLD,0.02361201227810513,0.13904851674884133
cost10,logistic,exclude_2021,SPY,0.02922084178712477,0.17219424624555668
cost10,logistic,exclude_2021,QQQ,0.04025702761575282,0.23722891273568625
cost10,logistic,exclude_2021,GLD,0.03641510230127446,0.2145889957039388
cost10,logistic,exclude_2022,SPY,0.05060889604227921,0.2984318234874084
cost10,logistic,exclude_2022,QQQ,0.06903501397887124,0.4070874237008042
cost10,logistic,exclude_2022,GLD,0.034618573199572164,0.20413968164509616
cost10,logistic,exclude_2023,SPY,0.03026141199265663,0.17856634775031907
cost10,logistic,exclude_2023,QQQ,0.03282520177352591,0.19369474221124217
cost10,logistic,exclude_2023,GLD,0.028370363402225613,0.16740766023456144
cost10,logistic,exclude_2024,SPY,0.0286440626730457,0.1710687076306896
cost10,logistic,exclude_2024,QQQ,0.0403346325794589,0.24088738901621287
cost10,logistic,exclude_2024,GLD,0.02161765695440127,0.12910545125545203
cost10,gbm,all,SPY,0.04001943066278455,0.27584821849705066
cost10,gbm,all,QQQ,0.048295720310339636,0.33289550071055535
cost10,gbm,all,GLD,0.029877962938928707,0.20594453025761572
cost10,gbm,2018_2020,SPY,0.039981088944143234,0.11930864637299884
cost10,gbm,2018_2020,QQQ,0.0671949579359119,0.20051828717383235
cost10,gbm,2018_2020,GLD,0.036829573675837404,0.10990412461995924
cost10,gbm,2021_2024,SPY,0.040048702716001076,0.15653957212405184
cost10,gbm,2021_2024,QQQ,0.03386706376777076,0.132377213536723
cost10,gbm,2021_2024,GLD,0.024570743371258304,0.09604040563765646
cost10,gbm,2018,SPY,-0.01697583757129617,-0.016639015397262518
cost10,gbm,2018,QQQ,-0.0019693220078679306,-0.0019302481585054716
cost10,gbm,2018,GLD,-0.009876366978488397,-0.009680407316216803
cost10,gbm,2019,SPY,0.07421032674494263,0.07421032674494263
cost10,gbm,2019,QQQ,0.09104152150937071,0.09104152150937071
cost10,gbm,2019,GLD,0.051483450997902205,0.051483450997902205
cost10,gbm,2020,SPY,0.061493313938262156,0.06173733502531875
cost10,gbm,2020,QQQ,0.11096666989481309,0.11140701382296711
cost10,gbm,2020,GLD,0.06783190670531623,0.06810108093827384
cost10,gbm,2021,SPY,0.06874247506568833,0.06874247506568833
cost10,gbm,2021,QQQ,0.06934722217400263,0.06934722217400263
cost10,gbm,2021,GLD,-0.009485654201808701,-0.009485654201808701
cost10,gbm,2022,SPY,-0.04862933411879395,-0.048436360570703496
cost10,gbm,2022,QQQ,-0.10236568445946731,-0.101959471425898
cost10,gbm,2022,GLD,-0.00226240491440991,-0.0022534271171305055
cost10,gbm,2023,SPY,0.06136268734522537,0.06087568189010453
cost10,gbm,2023,QQQ,0.1023745673347469,0.1015620707685981
cost10,gbm,2023,GLD,0.0354592671984693,0.03517784444292589
cost10,gbm,2024,SPY,0.08185413571645922,0.07535777573896246
cost10,gbm,2024,QQQ,0.0688952706424358,0.06342739202002026
cost10,gbm,2024,GLD,0.07886040479933099,0.0726016425136698
cost10,gbm,exclude_2018,SPY,0.049467639557964384,0.2924872338943132
cost10,gbm,exclude_2018,QQQ,0.056628247459733785,0.33482574886906086
cost10,gbm,exclude_2018,GLD,0.036468110247386436,0.2156249375738325
cost10,gbm,exclude_2019,SPY,0.034217339206418326,0.201637891752108
cost10,gbm,exclude_2019,QQQ,0.04104188737959497,0.24185397920118468
cost10,gbm,exclude_2019,GLD,0.026211577086496844,0.15446107925971353
cost10,gbm,exclude_2020,SPY,0.03635845191029409,0.21411088347173188
cost10,gbm,exclude_2020,QQQ,0.03761125249034517,0.22148848688758824
cost10,gbm,exclude_2020,GLD,0.023407378186303333,0.13784344931934187
cost10,gbm,exclude_2021,SPY,0.03514521706714028,0.20710574343136234
cost10,gbm,exclude_2021,QQQ,0.0447233442365059,0.26354827853655266
cost10,gbm,exclude_2021,GLD,0.03655784948402353,0.2154301844594244
cost10,gbm,exclude_2022,SPY,0.054993078011489935,0.32428457906775415
cost10,gbm,exclude_2022,QQQ,0.07374391182933125,0.4348549721364533
cost10,gbm,exclude_2022,GLD,0.0353067868495532,0.20819795737474622
cost10,gbm,exclude_2023,SPY,0.03643112254536008,0.21497253660694615
cost10,gbm,exclude_2023,QQQ,0.03920378234389591,0.2313334299419572
cost10,gbm,exclude_2023,GLD,0.0289396131979165,0.17076668581468982
cost10,gbm,exclude_2024,SPY,0.03357049274088919,0.20049044275808822
cost10,gbm,exclude_2024,QQQ,0.04512024145515935,0.26946810869053506
cost10,gbm,exclude_2024,GLD,0.02232718120363746,0.13334288774394593
cost25,constant100,all,SPY,0.04914696033428881,0.3387629765899193
cost25,constant100,all,QQQ,0.06622304568492074,0.45646599347106076
cost25,constant100,all,GLD,0.034680939420538945,0.23905076100585776
cost25,constant100,2018_2020,SPY,0.048813571709999865,0.14566589653142817
cost25,constant100,2018_2020,QQQ,0.08571671475093334,0.2557895614789757
cost25,constant100,2018_2020,GLD,0.04227369365972594,0.12615006996870598
cost25,constant100,2021_2024,SPY,0.04940148647181701,0.1930970800584911
cost25,constant100,2021_2024,QQQ,0.05134056940305122,0.20067643199208512
cost25,constant100,2021_2024,GLD,0.028884237706966763,0.11290069103715183
cost25,constant100,2018,SPY,-0.02002002462913634,-0.019622801918240777
cost25,constant100,2018,QQQ,-0.0067545275774636634,-0.0066205091731489085
cost25,constant100,2018,GLD,-0.010739124284313882,-0.010526046421529878
cost25,constant100,2019,SPY,0.0927440615776522,0.0927440615776522
cost25,constant100,2019,QQQ,0.11293864339188951,0.11293864339188951
cost25,constant100,2019,GLD,0.05626368614985447,0.05626368614985447
cost25,constant100,2020,SPY,0.07225789917687044,0.07254463687201675
cost25,constant100,2020,QQQ,0.14888063110505628,0.1494714272602351
cost25,constant100,2020,GLD,0.08009459454773164,0.08041243024038137
cost25,constant100,2021,SPY,0.08657310906557367,0.08657310906557367
cost25,constant100,2021,QQQ,0.08565886002451581,0.08565886002451581
cost25,constant100,2021,GLD,-0.011603799793200517,-0.011603799793200517
cost25,constant100,2022,SPY,-0.05783011669337277,-0.0576006321033197
cost25,constant100,2022,QQQ,-0.11601792058931727,-0.11555753201555015
cost25,constant100,2022,GLD,-0.0006149356289707937,-0.0006124954082209096
cost25,constant100,2023,SPY,0.08056784146443222,0.07992841415122244
cost25,constant100,2023,QQQ,0.15164946477840496,0.15044589759762397
cost25,constant100,2023,GLD,0.04253118161927908,0.04219363255880861
cost25,constant100,2024,SPY,0.09145448109544704,0.08419618894501474
cost25,constant100,2024,QQQ,0.08703689659114162,0.08012920638549546
cost25,constant100,2024,GLD,0.09007191865215813,0.08292335367976462
cost25,constant100,exclude_2018,SPY,0.06061289676782304,0.35838577850816006
cost25,constant100,exclude_2018,QQQ,0.07832067024586634,0.4630865026442097
cost25,constant100,exclude_2018,GLD,0.04221030568570583,0.24957680742738764
cost25,constant100,exclude_2019,SPY,0.041748664365718044,0.24601891501226703
cost25,constant100,exclude_2019,QQQ,0.05829555031646544,0.34352735007917135
cost25,constant100,exclude_2019,GLD,0.031018412702836923,0.18278707485600332
